county,ward,office,district,total votes,party,candidate,votes
Milwaukee,City Of Milwaukee Ward 9,"Milwaukee County Circuit Court, Branch 15",,21,,Scattering,0
Milwaukee,City Of Milwaukee Ward 10,"Milwaukee County Circuit Court, Branch 15",,28,,Scattering,1
Milwaukee,City Of Milwaukee Ward 11,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 12,"Milwaukee County Circuit Court, Branch 15",,33,,Scattering,1
Milwaukee,City Of Milwaukee Ward 13,"Milwaukee County Circuit Court, Branch 15",,17,,Scattering,0
Milwaukee,City Of Milwaukee Ward 14,"Milwaukee County Circuit Court, Branch 15",,12,,Scattering,0
Milwaukee,City Of Milwaukee Ward 15,"Milwaukee County Circuit Court, Branch 15",,47,,Scattering,2
Milwaukee,City Of Milwaukee Ward 16,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,0
Milwaukee,City Of Milwaukee Ward 17,"Milwaukee County Circuit Court, Branch 15",,80,,Scattering,2
Milwaukee,City Of Milwaukee Ward 18,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,0
Milwaukee,City Of Milwaukee Ward 19,"Milwaukee County Circuit Court, Branch 15",,36,,Scattering,1
Milwaukee,City Of Milwaukee Ward 20,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,2
Milwaukee,City Of Milwaukee Ward 21,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 22,"Milwaukee County Circuit Court, Branch 15",,10,,Scattering,0
Milwaukee,City Of Milwaukee Ward 23,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,0
Milwaukee,City Of Milwaukee Ward 24,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 25,"Milwaukee County Circuit Court, Branch 15",,29,,Scattering,1
Milwaukee,City Of Milwaukee Ward 26,"Milwaukee County Circuit Court, Branch 15",,34,,Scattering,0
Milwaukee,City Of Milwaukee Ward 27,"Milwaukee County Circuit Court, Branch 15",,54,,Scattering,0
Milwaukee,City Of Milwaukee Ward 28,"Milwaukee County Circuit Court, Branch 15",,13,,Scattering,0
Milwaukee,City Of Milwaukee Ward 29,"Milwaukee County Circuit Court, Branch 15",,28,,Scattering,1
Milwaukee,City Of Milwaukee Ward 30,"Milwaukee County Circuit Court, Branch 15",,49,,Scattering,0
Milwaukee,City Of Milwaukee Ward 31,"Milwaukee County Circuit Court, Branch 15",,53,,Scattering,0
Milwaukee,City Of Milwaukee Ward 32,"Milwaukee County Circuit Court, Branch 15",,31,,Scattering,0
Milwaukee,City Of Milwaukee Ward 33,"Milwaukee County Circuit Court, Branch 15",,42,,Scattering,3
Milwaukee,City Of Milwaukee Ward 34,"Milwaukee County Circuit Court, Branch 15",,19,,Scattering,0
Milwaukee,City Of Milwaukee Ward 35,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,0
Milwaukee,City Of Milwaukee Ward 36,"Milwaukee County Circuit Court, Branch 15",,60,,Scattering,1
Milwaukee,City Of Milwaukee Ward 37,"Milwaukee County Circuit Court, Branch 15",,156,,Scattering,1
Milwaukee,City Of Milwaukee Ward 38,"Milwaukee County Circuit Court, Branch 15",,128,,Scattering,3
Milwaukee,City Of Milwaukee Ward 39,"Milwaukee County Circuit Court, Branch 15",,29,,Scattering,1
Milwaukee,City Of Milwaukee Ward 40,"Milwaukee County Circuit Court, Branch 15",,89,,Scattering,0
Milwaukee,City Of Milwaukee Ward 41,"Milwaukee County Circuit Court, Branch 15",,104,,Scattering,4
Milwaukee,City Of Milwaukee Ward 42,"Milwaukee County Circuit Court, Branch 15",,247,,Scattering,1
Milwaukee,City Of Milwaukee Ward 43,"Milwaukee County Circuit Court, Branch 15",,56,,Scattering,1
Milwaukee,City Of Milwaukee Ward 44,"Milwaukee County Circuit Court, Branch 15",,58,,Scattering,1
Milwaukee,City Of Milwaukee Ward 45,"Milwaukee County Circuit Court, Branch 15",,36,,Scattering,1
Milwaukee,City Of Milwaukee Ward 46,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 47,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,1
Milwaukee,City Of Milwaukee Ward 48,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,0
Milwaukee,City Of Milwaukee Ward 49,"Milwaukee County Circuit Court, Branch 15",,48,,Scattering,1
Milwaukee,City Of Milwaukee Ward 50,"Milwaukee County Circuit Court, Branch 15",,68,,Scattering,1
Milwaukee,City Of Milwaukee Ward 51,"Milwaukee County Circuit Court, Branch 15",,81,,Scattering,1
Milwaukee,City Of Milwaukee Ward 52,"Milwaukee County Circuit Court, Branch 15",,63,,Scattering,0
Milwaukee,City Of Milwaukee Ward 53,"Milwaukee County Circuit Court, Branch 15",,73,,Scattering,1
Milwaukee,City Of Milwaukee Ward 54,"Milwaukee County Circuit Court, Branch 15",,121,,Scattering,1
Milwaukee,City Of Milwaukee Ward 55,"Milwaukee County Circuit Court, Branch 15",,71,,Scattering,0
Milwaukee,City Of Milwaukee Ward 56,"Milwaukee County Circuit Court, Branch 15",,148,,Scattering,1
Milwaukee,City Of Milwaukee Ward 57,"Milwaukee County Circuit Court, Branch 15",,29,,Scattering,1
Milwaukee,City Of Milwaukee Ward 58,"Milwaukee County Circuit Court, Branch 15",,97,,Scattering,1
Milwaukee,City Of Milwaukee Ward 59,"Milwaukee County Circuit Court, Branch 15",,67,,Scattering,2
Milwaukee,City Of Milwaukee Ward 60,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,0
Milwaukee,City Of Milwaukee Ward 61,"Milwaukee County Circuit Court, Branch 15",,10,,Scattering,0
Milwaukee,City Of Milwaukee Ward 62,"Milwaukee County Circuit Court, Branch 15",,4,,Scattering,0
Milwaukee,City Of Milwaukee Ward 63,"Milwaukee County Circuit Court, Branch 15",,5,,Scattering,0
Milwaukee,City Of Milwaukee Ward 64,"Milwaukee County Circuit Court, Branch 15",,51,,Scattering,1
Milwaukee,City Of Milwaukee Ward 65,"Milwaukee County Circuit Court, Branch 15",,16,,Scattering,0
Milwaukee,City Of Milwaukee Ward 66,"Milwaukee County Circuit Court, Branch 15",,7,,Scattering,0
Milwaukee,City Of Milwaukee Ward 67,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,0
Milwaukee,City Of Milwaukee Ward 68,"Milwaukee County Circuit Court, Branch 15",,19,,Scattering,1
Milwaukee,City Of Milwaukee Ward 69,"Milwaukee County Circuit Court, Branch 15",,5,,Scattering,1
Milwaukee,City Of Milwaukee Ward 70,"Milwaukee County Circuit Court, Branch 15",,79,,Scattering,1
Milwaukee,City Of Milwaukee Ward 71,"Milwaukee County Circuit Court, Branch 15",,24,,Scattering,0
Milwaukee,City Of Milwaukee Ward 72,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,0
Milwaukee,City Of Milwaukee Ward 73,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,3
Milwaukee,City Of Milwaukee Ward 74,"Milwaukee County Circuit Court, Branch 15",,15,,Scattering,0
Milwaukee,City Of Milwaukee Ward 75,"Milwaukee County Circuit Court, Branch 15",,33,,Scattering,0
Milwaukee,City Of Milwaukee Ward 76,"Milwaukee County Circuit Court, Branch 15",,50,,Scattering,1
Milwaukee,City Of Milwaukee Ward 77,"Milwaukee County Circuit Court, Branch 15",,59,,Scattering,0
Milwaukee,City Of Milwaukee Ward 78,"Milwaukee County Circuit Court, Branch 15",,31,,Scattering,0
Milwaukee,City Of Milwaukee Ward 79,"Milwaukee County Circuit Court, Branch 15",,38,,Scattering,0
Milwaukee,City Of Milwaukee Ward 80,"Milwaukee County Circuit Court, Branch 15",,40,,Scattering,1
Milwaukee,City Of Milwaukee Ward 81,"Milwaukee County Circuit Court, Branch 15",,54,,Scattering,0
Milwaukee,City Of Milwaukee Ward 82,"Milwaukee County Circuit Court, Branch 15",,49,,Scattering,0
Milwaukee,City Of Milwaukee Ward 83,"Milwaukee County Circuit Court, Branch 15",,31,,Scattering,0
Milwaukee,City Of Milwaukee Ward 84,"Milwaukee County Circuit Court, Branch 15",,67,,Scattering,1
Milwaukee,City Of Milwaukee Ward 85,"Milwaukee County Circuit Court, Branch 15",,86,,Scattering,2
Milwaukee,City Of Milwaukee Ward 86,"Milwaukee County Circuit Court, Branch 15",,58,,Scattering,0
Milwaukee,City Of Milwaukee Ward 87,"Milwaukee County Circuit Court, Branch 15",,72,,Scattering,0
Milwaukee,City Of Milwaukee Ward 88,"Milwaukee County Circuit Court, Branch 15",,69,,Scattering,0
Milwaukee,City Of Milwaukee Ward 89,"Milwaukee County Circuit Court, Branch 15",,54,,Scattering,1
Milwaukee,City Of Milwaukee Ward 90,"Milwaukee County Circuit Court, Branch 15",,60,,Scattering,2
Milwaukee,City Of Milwaukee Ward 91,"Milwaukee County Circuit Court, Branch 15",,71,,Scattering,0
Milwaukee,City Of Milwaukee Ward 92,"Milwaukee County Circuit Court, Branch 15",,84,,Scattering,3
Milwaukee,City Of Milwaukee Ward 93,"Milwaukee County Circuit Court, Branch 15",,65,,Scattering,0
Milwaukee,City Of Milwaukee Ward 94,"Milwaukee County Circuit Court, Branch 15",,107,,Scattering,0
Milwaukee,City Of Milwaukee Ward 95,"Milwaukee County Circuit Court, Branch 15",,45,,Scattering,1
Milwaukee,City Of Milwaukee Ward 96,"Milwaukee County Circuit Court, Branch 15",,21,,Scattering,0
Milwaukee,City Of Milwaukee Ward 97,"Milwaukee County Circuit Court, Branch 15",,24,,Scattering,0
Milwaukee,City Of Milwaukee Ward 98,"Milwaukee County Circuit Court, Branch 15",,19,,Scattering,0
Milwaukee,City Of Milwaukee Ward 99,"Milwaukee County Circuit Court, Branch 15",,45,,Scattering,0
Milwaukee,City Of Milwaukee Ward 100,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,0
Milwaukee,City Of Milwaukee Ward 101,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,1
Milwaukee,City Of Milwaukee Ward 102,"Milwaukee County Circuit Court, Branch 15",,47,,Scattering,2
Milwaukee,City Of Milwaukee Ward 103,"Milwaukee County Circuit Court, Branch 15",,38,,Scattering,4
Milwaukee,City Of Milwaukee Ward 104,"Milwaukee County Circuit Court, Branch 15",,39,,Scattering,0
Milwaukee,City Of Milwaukee Ward 105,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,1
Milwaukee,City Of Milwaukee Ward 106,"Milwaukee County Circuit Court, Branch 15",,29,,Scattering,0
Milwaukee,City Of Milwaukee Ward 107,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 108,"Milwaukee County Circuit Court, Branch 15",,44,,Scattering,0
Milwaukee,City Of Milwaukee Ward 109,"Milwaukee County Circuit Court, Branch 15",,33,,Scattering,0
Milwaukee,City Of Milwaukee Ward 110,"Milwaukee County Circuit Court, Branch 15",,60,,Scattering,1
Milwaukee,City Of Milwaukee Ward 111,"Milwaukee County Circuit Court, Branch 15",,71,,Scattering,0
Milwaukee,City Of Milwaukee Ward 112,"Milwaukee County Circuit Court, Branch 15",,39,,Scattering,0
Milwaukee,City Of Milwaukee Ward 113,"Milwaukee County Circuit Court, Branch 15",,51,,Scattering,0
Milwaukee,City Of Milwaukee Ward 114,"Milwaukee County Circuit Court, Branch 15",,21,,Scattering,0
Milwaukee,City Of Milwaukee Ward 115,"Milwaukee County Circuit Court, Branch 15",,46,,Scattering,0
Milwaukee,City Of Milwaukee Ward 116,"Milwaukee County Circuit Court, Branch 15",,21,,Scattering,0
Milwaukee,City Of Milwaukee Ward 117,"Milwaukee County Circuit Court, Branch 15",,39,,Scattering,0
Milwaukee,City Of Milwaukee Ward 118,"Milwaukee County Circuit Court, Branch 15",,38,,Scattering,0
Milwaukee,City Of Milwaukee Ward 119,"Milwaukee County Circuit Court, Branch 15",,49,,Scattering,2
Milwaukee,City Of Milwaukee Ward 120,"Milwaukee County Circuit Court, Branch 15",,45,,Scattering,1
Milwaukee,City Of Milwaukee Ward 121,"Milwaukee County Circuit Court, Branch 15",,44,,Scattering,1
Milwaukee,City Of Milwaukee Ward 122,"Milwaukee County Circuit Court, Branch 15",,14,,Scattering,0
Milwaukee,City Of Milwaukee Ward 123,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,1
Milwaukee,City Of Milwaukee Ward 124,"Milwaukee County Circuit Court, Branch 15",,29,,Scattering,0
Milwaukee,City Of Milwaukee Ward 125,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,0
Milwaukee,City Of Milwaukee Ward 126,"Milwaukee County Circuit Court, Branch 15",,24,,Scattering,0
Milwaukee,City Of Milwaukee Ward 127,"Milwaukee County Circuit Court, Branch 15",,24,,Scattering,0
Milwaukee,City Of Milwaukee Ward 128,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,3
Milwaukee,City Of Milwaukee Ward 129,"Milwaukee County Circuit Court, Branch 15",,28,,Scattering,0
Milwaukee,City Of Milwaukee Ward 130,"Milwaukee County Circuit Court, Branch 15",,6,,Scattering,0
Milwaukee,City Of Milwaukee Ward 131,"Milwaukee County Circuit Court, Branch 15",,4,,Scattering,0
Milwaukee,City Of Milwaukee Ward 132,"Milwaukee County Circuit Court, Branch 15",,9,,Scattering,0
Milwaukee,City Of Milwaukee Ward 133,"Milwaukee County Circuit Court, Branch 15",,9,,Scattering,0
Milwaukee,City Of Milwaukee Ward 134,"Milwaukee County Circuit Court, Branch 15",,25,,Scattering,0
Milwaukee,City Of Milwaukee Ward 135,"Milwaukee County Circuit Court, Branch 15",,83,,Scattering,2
Milwaukee,City Of Milwaukee Ward 136,"Milwaukee County Circuit Court, Branch 15",,53,,Scattering,1
Milwaukee,City Of Milwaukee Ward 137,"Milwaukee County Circuit Court, Branch 15",,22,,Scattering,0
Milwaukee,City Of Milwaukee Ward 138,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,0
Milwaukee,City Of Milwaukee Ward 139,"Milwaukee County Circuit Court, Branch 15",,5,,Scattering,0
Milwaukee,City Of Milwaukee Ward 140,"Milwaukee County Circuit Court, Branch 15",,16,,Scattering,0
Milwaukee,City Of Milwaukee Ward 141,"Milwaukee County Circuit Court, Branch 15",,12,,Scattering,0
Milwaukee,City Of Milwaukee Ward 142,"Milwaukee County Circuit Court, Branch 15",,27,,Scattering,2
Milwaukee,City Of Milwaukee Ward 143,"Milwaukee County Circuit Court, Branch 15",,17,,Scattering,0
Milwaukee,City Of Milwaukee Ward 144,"Milwaukee County Circuit Court, Branch 15",,42,,Scattering,0
Milwaukee,City Of Milwaukee Ward 145,"Milwaukee County Circuit Court, Branch 15",,65,,Scattering,1
Milwaukee,City Of Milwaukee Ward 146,"Milwaukee County Circuit Court, Branch 15",,87,,Scattering,0
Milwaukee,City Of Milwaukee Ward 147,"Milwaukee County Circuit Court, Branch 15",,61,,Scattering,0
Milwaukee,City Of Milwaukee Ward 148,"Milwaukee County Circuit Court, Branch 15",,89,,Scattering,1
Milwaukee,City Of Milwaukee Ward 149,"Milwaukee County Circuit Court, Branch 15",,153,,Scattering,3
Milwaukee,City Of Milwaukee Ward 150,"Milwaukee County Circuit Court, Branch 15",,23,,Scattering,1
Milwaukee,City Of Milwaukee Ward 151,"Milwaukee County Circuit Court, Branch 15",,42,,Scattering,0
Milwaukee,City Of Milwaukee Ward 152,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,2
Milwaukee,City Of Milwaukee Ward 153,"Milwaukee County Circuit Court, Branch 15",,31,,Scattering,1
Milwaukee,City Of Milwaukee Ward 154,"Milwaukee County Circuit Court, Branch 15",,25,,Scattering,1
Milwaukee,City Of Milwaukee Ward 155,"Milwaukee County Circuit Court, Branch 15",,45,,Scattering,0
Milwaukee,City Of Milwaukee Ward 156,"Milwaukee County Circuit Court, Branch 15",,25,,Scattering,0
Milwaukee,City Of Milwaukee Ward 157,"Milwaukee County Circuit Court, Branch 15",,35,,Scattering,1
Milwaukee,City Of Milwaukee Ward 158,"Milwaukee County Circuit Court, Branch 15",,27,,Scattering,1
Milwaukee,City Of Milwaukee Ward 159,"Milwaukee County Circuit Court, Branch 15",,37,,Scattering,0
Milwaukee,City Of Milwaukee Ward 160,"Milwaukee County Circuit Court, Branch 15",,4,,Scattering,0
Milwaukee,City Of Milwaukee Ward 161,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,1
Milwaukee,City Of Milwaukee Ward 162,"Milwaukee County Circuit Court, Branch 15",,28,,Scattering,0
Milwaukee,City Of Milwaukee Ward 163,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 164,"Milwaukee County Circuit Court, Branch 15",,24,,Scattering,0
Milwaukee,City Of Milwaukee Ward 165,"Milwaukee County Circuit Court, Branch 15",,34,,Scattering,0
Milwaukee,City Of Milwaukee Ward 166,"Milwaukee County Circuit Court, Branch 15",,18,,Scattering,0
Milwaukee,City Of Milwaukee Ward 167,"Milwaukee County Circuit Court, Branch 15",,23,,Scattering,0
Milwaukee,City Of Milwaukee Ward 168,"Milwaukee County Circuit Court, Branch 15",,27,,Scattering,1
Milwaukee,City Of Milwaukee Ward 169,"Milwaukee County Circuit Court, Branch 15",,21,,Scattering,0
Milwaukee,City Of Milwaukee Ward 170,"Milwaukee County Circuit Court, Branch 15",,40,,Scattering,1
Milwaukee,City Of Milwaukee Ward 171,"Milwaukee County Circuit Court, Branch 15",,49,,Scattering,0
Milwaukee,City Of Milwaukee Ward 172,"Milwaukee County Circuit Court, Branch 15",,38,,Scattering,0
Milwaukee,City Of Milwaukee Ward 173,"Milwaukee County Circuit Court, Branch 15",,15,,Scattering,0
Milwaukee,City Of Milwaukee Ward 174,"Milwaukee County Circuit Court, Branch 15",,13,,Scattering,0
Milwaukee,City Of Milwaukee Ward 175,"Milwaukee County Circuit Court, Branch 15",,16,,Scattering,1
Milwaukee,City Of Milwaukee Ward 176,"Milwaukee County Circuit Court, Branch 15",,12,,Scattering,0
Milwaukee,City Of Milwaukee Ward 177,"Milwaukee County Circuit Court, Branch 15",,18,,Scattering,0
Milwaukee,City Of Milwaukee Ward 178,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,0
Milwaukee,City Of Milwaukee Ward 179,"Milwaukee County Circuit Court, Branch 15",,18,,Scattering,0
Milwaukee,City Of Milwaukee Ward 180,"Milwaukee County Circuit Court, Branch 15",,36,,Scattering,2
Milwaukee,City Of Milwaukee Ward 181,"Milwaukee County Circuit Court, Branch 15",,16,,Scattering,0
Milwaukee,City Of Milwaukee Ward 182,"Milwaukee County Circuit Court, Branch 15",,16,,Scattering,0
Milwaukee,City Of Milwaukee Ward 183,"Milwaukee County Circuit Court, Branch 15",,26,,Scattering,0
Milwaukee,City Of Milwaukee Ward 184,"Milwaukee County Circuit Court, Branch 15",,132,,Scattering,1
Milwaukee,City Of Milwaukee Ward 185,"Milwaukee County Circuit Court, Branch 15",,65,,Scattering,2
Milwaukee,City Of Milwaukee Ward 186,"Milwaukee County Circuit Court, Branch 15",,48,,Scattering,0
Milwaukee,City Of Milwaukee Ward 187,"Milwaukee County Circuit Court, Branch 15",,50,,Scattering,0
Milwaukee,City Of Milwaukee Ward 188,"Milwaukee County Circuit Court, Branch 15",,106,,Scattering,1
Milwaukee,City Of Milwaukee Ward 189,"Milwaukee County Circuit Court, Branch 15",,103,,Scattering,0
Milwaukee,City Of Milwaukee Ward 190,"Milwaukee County Circuit Court, Branch 15",,128,,Scattering,1
Milwaukee,City Of Milwaukee Ward 191,"Milwaukee County Circuit Court, Branch 15",,106,,Scattering,1
Milwaukee,City Of Milwaukee Ward 192,"Milwaukee County Circuit Court, Branch 15",,163,,Scattering,0
Milwaukee,City Of Milwaukee Ward 193,"Milwaukee County Circuit Court, Branch 15",,83,,Scattering,0
Milwaukee,City Of Milwaukee Ward 194,"Milwaukee County Circuit Court, Branch 15",,50,,Scattering,0
Milwaukee,City Of Milwaukee Ward 195,"Milwaukee County Circuit Court, Branch 15",,52,,Scattering,0
Milwaukee,City Of Milwaukee Ward 196,"Milwaukee County Circuit Court, Branch 15",,97,,Scattering,0
Milwaukee,City Of Milwaukee Ward 197,"Milwaukee County Circuit Court, Branch 15",,183,,Scattering,1
Milwaukee,City Of Milwaukee Ward 198,"Milwaukee County Circuit Court, Branch 15",,116,,Scattering,0
Milwaukee,City Of Milwaukee Ward 199,"Milwaukee County Circuit Court, Branch 15",,58,,Scattering,0
Milwaukee,City Of Milwaukee Ward 200,"Milwaukee County Circuit Court, Branch 15",,198,,Scattering,1
Milwaukee,City Of Milwaukee Ward 201,"Milwaukee County Circuit Court, Branch 15",,19,,Scattering,0
Milwaukee,City Of Milwaukee Ward 202,"Milwaukee County Circuit Court, Branch 15",,8,,Scattering,0
Milwaukee,City Of Milwaukee Ward 203,"Milwaukee County Circuit Court, Branch 15",,15,,Scattering,0
Milwaukee,City Of Milwaukee Ward 204,"Milwaukee County Circuit Court, Branch 15",,5,,Scattering,0
Milwaukee,City Of Milwaukee Ward 205,"Milwaukee County Circuit Court, Branch 15",,7,,Scattering,0
Milwaukee,City Of Milwaukee Ward 206,"Milwaukee County Circuit Court, Branch 15",,12,,Scattering,0
Milwaukee,City Of Milwaukee Ward 207,"Milwaukee County Circuit Court, Branch 15",,12,,Scattering,0
Milwaukee,City Of Milwaukee Ward 208,"Milwaukee County Circuit Court, Branch 15",,5,,Scattering,0
Milwaukee,City Of Milwaukee Ward 209,"Milwaukee County Circuit Court, Branch 15",,7,,Scattering,0
Milwaukee,City Of Milwaukee Ward 210,"Milwaukee County Circuit Court, Branch 15",,14,,Scattering,0
Milwaukee,City Of Milwaukee Ward 211,"Milwaukee County Circuit Court, Branch 15",,7,,Scattering,0
Milwaukee,City Of Milwaukee Ward 212,"Milwaukee County Circuit Court, Branch 15",,15,,Scattering,1
Milwaukee,City Of Milwaukee Ward 213,"Milwaukee County Circuit Court, Branch 15",,11,,Scattering,0
Milwaukee,City Of Milwaukee Ward 214,"Milwaukee County Circuit Court, Branch 15",,7,,Scattering,0
Milwaukee,City Of Milwaukee Ward 215,"Milwaukee County Circuit Court, Branch 15",,13,,Scattering,0
Milwaukee,City Of Milwaukee Ward 216,"Milwaukee County Circuit Court, Branch 15",,84,,Scattering,0
Milwaukee,City Of Milwaukee Ward 217,"Milwaukee County Circuit Court, Branch 15",,85,,Scattering,0
Milwaukee,City Of Milwaukee Ward 218,"Milwaukee County Circuit Court, Branch 15",,53,,Scattering,1
Milwaukee,City Of Milwaukee Ward 219,"Milwaukee County Circuit Court, Branch 15",,43,,Scattering,1
Milwaukee,City Of Milwaukee Ward 220,"Milwaukee County Circuit Court, Branch 15",,85,,Scattering,1
Milwaukee,City Of Milwaukee Ward 221,"Milwaukee County Circuit Court, Branch 15",,132,,Scattering,0
Milwaukee,City Of Milwaukee Ward 222,"Milwaukee County Circuit Court, Branch 15",,76,,Scattering,0
Milwaukee,City Of Milwaukee Ward 223,"Milwaukee County Circuit Court, Branch 15",,67,,Scattering,1
Milwaukee,City Of Milwaukee Ward 224,"Milwaukee County Circuit Court, Branch 15",,90,,Scattering,0
Milwaukee,City Of Milwaukee Ward 225,"Milwaukee County Circuit Court, Branch 15",,56,,Scattering,0
Milwaukee,City Of Milwaukee Ward 226,"Milwaukee County Circuit Court, Branch 15",,36,,Scattering,1
Milwaukee,City Of Milwaukee Ward 227,"Milwaukee County Circuit Court, Branch 15",,20,,Scattering,0
Milwaukee,City Of Milwaukee Ward 228,"Milwaukee County Circuit Court, Branch 15",,89,,Scattering,0
Milwaukee,City Of Milwaukee Ward 229,"Milwaukee County Circuit Court, Branch 15",,88,,Scattering,0
Milwaukee,City Of Milwaukee Ward 230,"Milwaukee County Circuit Court, Branch 15",,133,,Scattering,3
Milwaukee,City Of Milwaukee Ward 231,"Milwaukee County Circuit Court, Branch 15",,153,,Scattering,0
Milwaukee,City Of Milwaukee Ward 232,"Milwaukee County Circuit Court, Branch 15",,110,,Scattering,0
Milwaukee,City Of Milwaukee Ward 233,"Milwaukee County Circuit Court, Branch 15",,61,,Scattering,0
Milwaukee,City Of Milwaukee Ward 234,"Milwaukee County Circuit Court, Branch 15",,77,,Scattering,2
Milwaukee,City Of Milwaukee Ward 235,"Milwaukee County Circuit Court, Branch 15",,29,,Scattering,1
Milwaukee,City Of Milwaukee Ward 236,"Milwaukee County Circuit Court, Branch 15",,61,,Scattering,1
Milwaukee,City Of Milwaukee Ward 237,"Milwaukee County Circuit Court, Branch 15",,47,,Scattering,1
Milwaukee,City Of Milwaukee Ward 238,"Milwaukee County Circuit Court, Branch 15",,123,,Scattering,0
Milwaukee,City Of Milwaukee Ward 239,"Milwaukee County Circuit Court, Branch 15",,70,,Scattering,1
Milwaukee,City Of Milwaukee Ward 240,"Milwaukee County Circuit Court, Branch 15",,42,,Scattering,2
Milwaukee,City Of Milwaukee Ward 241,"Milwaukee County Circuit Court, Branch 15",,23,,Scattering,0
Milwaukee,City Of Milwaukee Ward 242,"Milwaukee County Circuit Court, Branch 15",,51,,Scattering,1
Milwaukee,City Of Milwaukee Ward 243,"Milwaukee County Circuit Court, Branch 15",,32,,Scattering,0
Milwaukee,City Of Milwaukee Ward 244,"Milwaukee County Circuit Court, Branch 15",,28,,Scattering,0
Milwaukee,City Of Milwaukee Ward 245,"Milwaukee County Circuit Court, Branch 15",,65,,Scattering,0
Milwaukee,City Of Milwaukee Ward 246,"Milwaukee County Circuit Court, Branch 15",,19,,Scattering,1
Milwaukee,City Of Milwaukee Ward 247,"Milwaukee County Circuit Court, Branch 15",,40,,Scattering,0
Milwaukee,City Of Milwaukee Ward 248,"Milwaukee County Circuit Court, Branch 15",,42,,Scattering,0
Milwaukee,City Of Milwaukee Ward 249,"Milwaukee County Circuit Court, Branch 15",,52,,Scattering,1
Milwaukee,City Of Milwaukee Ward 250,"Milwaukee County Circuit Court, Branch 15",,81,,Scattering,2
Milwaukee,City Of Milwaukee Ward 251,"Milwaukee County Circuit Court, Branch 15",,62,,Scattering,1
Milwaukee,City Of Milwaukee Ward 252,"Milwaukee County Circuit Court, Branch 15",,84,,Scattering,0
Milwaukee,City Of Milwaukee Ward 253,"Milwaukee County Circuit Court, Branch 15",,101,,Scattering,1
Milwaukee,City Of Milwaukee Ward 254,"Milwaukee County Circuit Court, Branch 15",,61,,Scattering,2
Milwaukee,City Of Milwaukee Ward 255,"Milwaukee County Circuit Court, Branch 15",,113,,Scattering,1
Milwaukee,City Of Milwaukee Ward 256,"Milwaukee County Circuit Court, Branch 15",,86,,Scattering,1
Milwaukee,City Of Milwaukee Ward 257,"Milwaukee County Circuit Court, Branch 15",,54,,Scattering,0
Milwaukee,City Of Milwaukee Ward 258,"Milwaukee County Circuit Court, Branch 15",,56,,Scattering,0
Milwaukee,City Of Milwaukee Ward 259,"Milwaukee County Circuit Court, Branch 15",,203,,Scattering,5
Milwaukee,City Of Milwaukee Ward 260,"Milwaukee County Circuit Court, Branch 15",,3,,Scattering,0
Milwaukee,City Of Milwaukee Ward 261,"Milwaukee County Circuit Court, Branch 15",,62,,Scattering,0
Milwaukee,City Of Milwaukee Ward 263,"Milwaukee County Circuit Court, Branch 15",,17,,Scattering,0
Milwaukee,City Of Milwaukee Ward 264,"Milwaukee County Circuit Court, Branch 15",,84,,Scattering,2
Milwaukee,City Of Milwaukee Ward 265,"Milwaukee County Circuit Court, Branch 15",,47,,Scattering,0
Milwaukee,City Of Milwaukee Ward 266,"Milwaukee County Circuit Court, Branch 15",,62,,Scattering,0
Milwaukee,City Of Milwaukee Ward 267,"Milwaukee County Circuit Court, Branch 15",,91,,Scattering,1
