ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Jay N. Conley,Vance M. Waggoner,Edward Burke,Scattering ,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,Town,28,Troy,65028,1,Wards 1 - 3,28,40,21,29,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,30,Walworth,65030,2,Wards 1 - 4,29,15,11,22,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,15,43,2,65,Walworth,Town,32,Whitewater,65032,2,Wards 1 - 4,13,41,6,23,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Village,116,Darien,65116,1,Wards 1 & 2,34,4,0,47,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,28,83,2,65,Walworth,Village,121,East Troy,65121,4,Wards 1 - 7,26,35,7,58,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Village,126,Fontana,65126,3,Wards 1 - 5,24,17,26,36,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Village,131,Genoa City,65131,2,Wards 1 - 3,7,6,10,21,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,28,83,2,65,Walworth,Village,153,Mukwonago,65153,3,Ward 9,0,2,0,0,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Village,181,Sharon,65181,1,Wards 1 & 2,7,3,5,29,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Village,191,Walworth,65191,1,Wards 1 - 3,36,23,13,37,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Village,192,Williams Bay,65192,1,Wards 1 - 4,48,31,14,55,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,22,66,2,65,Walworth,City,206,Burlington,65206,2,Ward 17,0,0,0,0,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,City,216,Delavan,65216,7,Wards 1 - 13,458,98,36,215,2,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,City,221,Elkhorn,65221,8,Wards 1 - 18,306,143,39,245,2,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,City,246,Lake Geneva,65246,15,"Wards 1, 2, 12, 18 & 26",50,80,28,102,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,City,246,Lake Geneva,65246,16,"Wards 3, 4, 11, 16 & 24",31,37,19,79,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,City,246,Lake Geneva,65246,17,"Wards 5, 6, 9, 10, 13, 14, 17, 19 - 23 & 25",47,59,30,109,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,City,246,Lake Geneva,65246,18,"Wards 7, 8 & 15",93,56,33,103,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,15,43,2,65,Walworth,City,291,Whitewater,65291,11,"Wards 1 - 6, 12, 13, 16 - 19",84,250,10,67,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",2,15,43,2,65,Walworth,City,291,Whitewater,65291,12,Wards 7 & 8,0,9,2,0,0,
 , , , , , , , , , , , , , , , ,TOTAL,1951,1538,581,1843,16,
